ticker,headline,published_at,link
AAPL,The Calm Surface of Alphabet Stock Hides a Turbulent Forecast,"Wed, 05 Aug 2026 20:33:16 +0000",https://www.trefis.com/articles/610171/the-calm-surface-of-alphabet-stock-hides-a-turbulent-forecast/2026-08-05?.tsrc=rss
AAPL,SpaceX’s $1T Goal and 3 More Shockers From Musk on the Earnings Call,"Wed, 05 Aug 2026 20:26:00 +0000",https://finance.yahoo.com/m/954539eb-42ed-35a5-bc45-3f6a2bec5755/spacex%E2%80%99s-%241t-goal-and-3-more.html?.tsrc=rss
AAPL,Price hikes on consumer electronics could be here to stay. Here's why.,"Wed, 05 Aug 2026 19:56:01 +0000",https://finance.yahoo.com/video/price-hikes-consumer-electronics-could-195601126.html?.tsrc=rss
AAPL,Spain's 'Warren Buffett' Bets Against the Crowd--and It's Paying Off,"Wed, 05 Aug 2026 19:26:24 +0000",https://finance.yahoo.com/markets/stocks/articles/spains-warren-buffett-bets-against-192624264.html?.tsrc=rss
AAPL,The companies emerging as new leaders in this renewed AI rally,"Wed, 05 Aug 2026 19:15:36 +0000",https://finance.yahoo.com/video/companies-emerging-leaders-renewed-ai-191536658.html?.tsrc=rss
AAPL,Apple's Search for Cheaper Memory Just Hit a Wall,"Wed, 05 Aug 2026 18:33:10 +0000",https://finance.yahoo.com/markets/stocks/articles/apples-search-cheaper-memory-just-183310958.html?.tsrc=rss
AAPL,Just How Wide Is the Range of Outcomes for Netflix Stock?,"Wed, 05 Aug 2026 18:08:58 +0000",https://www.trefis.com/articles/610174/just-how-wide-is-the-range-of-outcomes-for-netflix-stock/2026-08-05?.tsrc=rss
AAPL,4 Things All Dividend Investors Need to Know About Building Passive Income Right Now,"Wed, 05 Aug 2026 16:20:00 +0000",https://www.fool.com/investing/2026/08/05/4-things-dividend-investors-know-passive-income/?.tsrc=rss
AAPL,Amazon says it will share $600 million in Trump tariff refunds with some of its customers — will you get a payout?,"Wed, 05 Aug 2026 16:15:00 +0000",https://finance.yahoo.com/economy/policy/articles/amazon-says-share-600-million-161500550.html?.tsrc=rss
AAPL,The 9th Circuit’s Browser Analogy Leaves a Liability Vacuum,"Wed, 05 Aug 2026 14:28:24 +0000",https://finance.yahoo.com/technology/ai/articles/9th-circuit-browser-analogy-leaves-142824841.html?.tsrc=rss
AAPL,Departing Apple CEO Tim Cook Just Gave Memory Stocks Good News,"Wed, 05 Aug 2026 14:20:00 +0000",https://www.fool.com/investing/2026/08/05/departing-apple-ceo-tim-cook-gave-memory-stocks/?.tsrc=rss
AAPL,Apple's Buyback Is Retiring Less Stock Just As The Memory Bill Grows,"Wed, 05 Aug 2026 14:17:01 +0000",https://www.trefis.com/articles/610208/apples-buyback-is-retiring-less-stock-just-as-the-memory-bill-grows/2026-08-05?.tsrc=rss
AAPL,Apple’s purchase commitments jump 28%; BofA sees iPhone ramp ahead,"Wed, 05 Aug 2026 13:45:06 +0000",https://finance.yahoo.com/markets/stocks/articles/apple-purchase-commitments-jump-28-134506846.html?.tsrc=rss
AAPL,Apple Acquires PlasmaSolve in a Quiet Materials Science Deal. It’s Probably Not Strategically Significant.,"Wed, 05 Aug 2026 13:00:02 +0000",https://www.barchart.com/story/news/3663231/apple-acquires-plasmasolve-in-a-quiet-materials-science-deal-its-probably-not-strategically-significant?.tsrc=rss
AAPL,"Kurv Launches the Kurv Equity Option Income ETF (KEO), Designed to Provide Diversified Exposure with Weekly Income Potential","Wed, 05 Aug 2026 13:00:00 +0000",https://finance.yahoo.com/markets/options/articles/kurv-launches-kurv-equity-option-130000825.html?.tsrc=rss
AAPL,Apple's Quarterly iPhone Sales Were Even Better Than They Seem,"Wed, 05 Aug 2026 10:15:00 +0000",https://www.fool.com/investing/2026/08/05/apple-quarterly-iphone-sales-better-than-seem/?.tsrc=rss
AAPL,AI CapEx fears: Is big tech overspending?,"Wed, 05 Aug 2026 10:00:00 +0000",https://finance.yahoo.com/video/ai-capex-fears-big-tech-100000522.html?.tsrc=rss
AAPL,Tech Melt-Up Drives $3.5 Trillion Nasdaq 100 Gain in Four Days,"Wed, 05 Aug 2026 09:26:12 +0000",https://finance.yahoo.com/markets/stocks/articles/tech-melt-drives-3-5-092612137.html?.tsrc=rss
